status_checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_percent,personal_status_sex,other_debtors_guarantors,present_residence_since,property,age,other_installment_plans,housing,existing_credits_count,job,dependents_count,telephone,foreign_worker,credit_risk_good,predicted_credit_risk,predicted_probability
A12,9,A34,A46,1501,A61,A75,2,female_divorced_separated_married,A101,3,A123,34,A143,A152,2,A174,1,A192,yes,0,1,0.7666506565430499
A14,6,A34,A43,1382,A61,A73,1,female_divorced_separated_married,A101,1,A123,28,A143,A152,2,A173,1,A192,yes,1,1,0.9737883555028051
A12,12,A32,A42,951,A62,A72,4,female_divorced_separated_married,A101,4,A123,27,A141,A151,4,A173,1,A191,yes,0,0,0.19080753519567806
A12,24,A32,A41,2760,A65,A75,4,male_single,A101,4,A124,36,A141,A153,1,A173,1,A192,yes,1,1,0.82558323845144
A12,18,A33,A42,4297,A61,A75,4,male_divorced_separated,A101,3,A124,40,A143,A152,1,A174,1,A192,yes,0,0,0.4360683430660359
A14,9,A34,A46,936,A63,A75,4,male_single,A101,2,A123,52,A143,A152,2,A173,1,A192,yes,1,1,0.9548554279761506
A11,12,A32,A40,1168,A61,A73,4,male_married_widowed,A101,3,A121,27,A143,A152,1,A172,1,A191,yes,1,0,0.3455658061739271
A14,27,A33,A49,5117,A61,A74,3,male_single,A101,4,A123,26,A143,A152,2,A173,1,A191,yes,1,1,0.8816986633955742
A11,12,A32,A48,902,A61,A74,4,male_married_widowed,A101,4,A122,21,A143,A151,1,A173,1,A191,yes,0,1,0.770344255847381
A14,12,A34,A40,1495,A61,A75,4,male_single,A101,1,A121,38,A143,A152,2,A172,2,A191,yes,1,1,0.8837277149760743
A11,30,A34,A41,10623,A61,A75,3,male_single,A101,4,A124,38,A143,A153,3,A174,2,A192,yes,1,1,0.5496287108133295
A14,12,A34,A42,1935,A61,A75,4,male_single,A101,4,A121,43,A143,A152,3,A173,1,A192,yes,1,1,0.9547550066652388
A12,12,A34,A44,1424,A61,A74,4,male_single,A101,3,A122,26,A143,A152,1,A173,1,A191,yes,1,1,0.8577685487462858
A11,24,A32,A49,6568,A61,A73,2,male_married_widowed,A101,2,A123,21,A142,A152,1,A172,1,A191,yes,1,0,0.25219371747454733
A14,12,A32,A41,1413,A64,A74,3,male_single,A101,2,A122,55,A143,A152,1,A173,1,A191,no,1,1,0.9989243380882006
A14,9,A34,A43,3074,A65,A73,1,male_single,A101,2,A121,33,A143,A152,2,A173,2,A191,yes,1,1,0.9889402337205814
A14,36,A32,A43,3835,A65,A75,2,female_divorced_separated_married,A101,4,A121,45,A143,A152,1,A172,1,A192,yes,1,1,0.9551725698871425
A11,27,A30,A49,5293,A61,A71,2,male_single,A101,4,A122,50,A142,A152,2,A173,1,A192,yes,0,0,0.29110679561235026
A13,30,A33,A49,1908,A61,A75,4,male_single,A101,4,A121,66,A143,A152,1,A174,1,A192,yes,0,1,0.8932129719448142
A14,36,A34,A43,3342,A65,A75,4,male_single,A101,2,A123,51,A143,A152,1,A173,1,A192,yes,1,1,0.9764655602197044
A12,6,A34,A48,932,A65,A74,1,female_divorced_separated_married,A101,3,A122,39,A143,A152,2,A172,1,A191,yes,1,1,0.9922071700188516
A11,18,A30,A49,3104,A61,A74,3,male_single,A101,1,A122,31,A141,A152,1,A173,1,A192,yes,1,0,0.4936200609702382
A13,36,A32,A43,3913,A61,A73,2,male_single,A101,2,A121,23,A143,A152,1,A173,1,A192,yes,1,1,0.8150798226349146
A11,24,A32,A42,3021,A61,A73,2,male_divorced_separated,A101,2,A121,24,A143,A151,1,A172,1,A191,yes,1,0,0.3472332659725511
A14,10,A32,A40,1364,A61,A73,2,female_divorced_separated_married,A101,4,A123,64,A143,A152,1,A173,1,A192,yes,1,1,0.90374684814724
A12,12,A32,A43,625,A61,A72,4,male_married_widowed,A103,1,A121,26,A141,A152,1,A172,1,A191,yes,1,1,0.7055505961189028
A11,12,A32,A46,1200,A65,A73,4,female_divorced_separated_married,A101,4,A122,23,A141,A151,1,A173,1,A192,yes,1,0,0.27148534939003055
A14,12,A32,A43,707,A61,A73,4,male_single,A101,2,A121,30,A141,A152,2,A173,1,A191,yes,1,1,0.8224381174773663
A14,24,A33,A49,2978,A65,A73,4,male_single,A101,4,A121,32,A143,A152,2,A173,2,A192,yes,1,1,0.9340310898107392
A14,15,A32,A41,4657,A61,A73,3,male_single,A101,2,A123,30,A143,A152,1,A173,1,A192,yes,1,1,0.9544614733790157
A14,36,A30,A45,2613,A61,A73,4,male_single,A101,2,A123,27,A143,A152,2,A173,1,A191,yes,1,0,0.46277326789915024
A12,48,A32,A43,10961,A64,A74,1,male_single,A102,2,A124,27,A141,A152,2,A173,1,A192,yes,0,0,0.49506606188619884
A11,12,A32,A42,7865,A61,A75,4,male_single,A101,4,A124,53,A143,A153,1,A174,1,A192,yes,0,1,0.5062588292276233
A14,9,A32,A43,1478,A61,A74,4,male_single,A101,2,A123,22,A143,A152,1,A173,1,A191,yes,0,1,0.9405057451696736
A11,24,A32,A42,3149,A61,A72,4,male_single,A101,1,A124,22,A141,A153,1,A173,1,A191,yes,1,0,0.20580982628643082
A13,36,A32,A43,4210,A61,A73,4,male_single,A101,2,A123,26,A143,A152,1,A173,1,A191,yes,0,1,0.587510863344713
A14,9,A32,A40,2507,A63,A75,2,male_single,A101,4,A124,51,A143,A153,1,A172,1,A191,yes,1,1,0.91503824322953
A14,12,A32,A43,2141,A62,A74,3,male_single,A101,1,A124,35,A143,A152,1,A173,1,A191,yes,1,1,0.9502162742453661
A12,18,A32,A43,866,A61,A73,4,male_married_widowed,A103,2,A121,25,A143,A152,1,A172,1,A191,yes,1,1,0.8040992549824245
A14,4,A34,A43,1544,A61,A74,2,male_single,A101,1,A121,42,A143,A152,3,A172,2,A191,yes,1,1,0.9835940392511285
A11,24,A32,A43,1823,A61,A71,4,male_single,A101,2,A123,30,A142,A152,1,A174,2,A191,yes,0,0,0.32053567402539007
A12,6,A32,A40,14555,A65,A71,1,male_single,A101,2,A122,23,A143,A152,1,A171,1,A192,yes,0,1,0.6893444201796831
A12,21,A32,A49,2767,A62,A75,4,male_divorced_separated,A101,2,A123,61,A141,A151,2,A172,1,A191,yes,0,0,0.27322355193900744
A14,12,A34,A43,1291,A61,A73,4,female_divorced_separated_married,A101,2,A122,35,A143,A152,2,A173,1,A191,yes,1,1,0.9003291465499306
A11,30,A32,A43,2522,A61,A75,1,male_single,A103,3,A122,39,A143,A152,1,A173,2,A191,yes,1,1,0.8393322238263213
A11,24,A32,A40,915,A65,A75,4,female_divorced_separated_married,A101,2,A123,29,A141,A152,1,A173,1,A191,yes,0,0,0.3072148845771726
A14,6,A32,A43,1595,A61,A74,3,male_single,A101,2,A122,51,A143,A152,1,A173,2,A191,yes,1,1,0.9617789196926748
A11,48,A30,A41,4605,A61,A75,3,male_single,A101,4,A124,24,A143,A153,2,A173,2,A191,yes,0,0,0.23447280241194235
A14,12,A34,A49,1185,A61,A73,3,female_divorced_separated_married,A101,2,A121,27,A143,A152,2,A173,1,A191,yes,1,1,0.9270437864305082
A14,12,A31,A48,3447,A63,A73,4,female_divorced_separated_married,A101,3,A121,35,A143,A152,1,A172,2,A191,yes,1,1,0.899550423877708
A14,24,A32,A49,1258,A61,A74,4,male_single,A101,1,A121,25,A143,A152,1,A173,1,A192,yes,1,1,0.9399036450740784
A14,12,A34,A43,717,A61,A75,4,male_single,A101,4,A121,52,A143,A152,3,A173,1,A191,yes,1,1,0.9586754926934647
A14,6,A30,A40,1204,A62,A73,4,male_single,A101,1,A124,35,A141,A151,1,A173,1,A191,no,1,1,0.7626440492964147
A13,24,A32,A42,1925,A61,A73,2,male_single,A101,2,A121,26,A143,A152,1,A173,1,A191,yes,1,1,0.8464314746805414
A14,18,A32,A43,433,A61,A71,3,female_divorced_separated_married,A102,4,A121,22,A143,A151,1,A173,1,A191,yes,0,1,0.7281709389678767
A11,6,A34,A40,666,A64,A74,3,female_divorced_separated_married,A101,4,A121,39,A143,A152,2,A172,1,A192,yes,1,1,0.9437567749586372
A13,12,A32,A42,2251,A61,A73,1,female_divorced_separated_married,A101,2,A123,46,A143,A152,1,A172,1,A191,yes,1,1,0.8709310305339348
A12,30,A32,A40,2150,A61,A73,4,female_divorced_separated_married,A103,2,A124,24,A141,A152,1,A173,1,A191,yes,0,0,0.1944918477820664
A14,24,A33,A42,4151,A62,A73,2,male_single,A101,3,A122,35,A143,A152,2,A173,1,A191,yes,1,1,0.9125372352457668
A12,9,A32,A42,2030,A65,A74,2,male_single,A101,1,A123,24,A143,A152,1,A173,1,A192,yes,1,1,0.9599372221242269
A12,60,A33,A43,7418,A65,A73,1,male_single,A101,1,A121,27,A143,A152,1,A172,1,A191,yes,1,1,0.7511156572881209
A14,24,A34,A43,2684,A61,A73,4,male_single,A101,2,A121,35,A143,A152,2,A172,1,A191,yes,1,1,0.9259198428511257
A11,12,A31,A43,2149,A61,A73,4,male_divorced_separated,A101,1,A124,29,A143,A153,1,A173,1,A191,yes,0,0,0.188751745904937
A14,15,A32,A41,3812,A62,A72,1,female_divorced_separated_married,A101,4,A123,23,A143,A152,1,A173,1,A192,yes,1,1,0.9672758073134722
A14,11,A34,A43,1154,A62,A71,4,female_divorced_separated_married,A101,4,A121,57,A143,A152,3,A172,1,A191,yes,1,1,0.9428673936741159
A11,12,A32,A42,1657,A61,A73,2,male_single,A101,2,A121,27,A143,A152,1,A173,1,A191,yes,1,1,0.7561272699108954
A11,24,A32,A43,1603,A61,A75,4,female_divorced_separated_married,A101,4,A123,55,A143,A152,1,A173,1,A191,yes,1,1,0.5078137771102736
A11,18,A34,A40,5302,A61,A75,2,male_single,A101,4,A124,36,A143,A153,3,A174,1,A192,yes,1,1,0.5318691727098925
A14,12,A34,A46,2748,A61,A75,2,female_divorced_separated_married,A101,4,A124,57,A141,A153,3,A172,1,A191,yes,1,1,0.7411731924889395
A14,10,A34,A40,1231,A61,A75,3,male_single,A101,4,A121,32,A143,A152,2,A172,2,A191,no,1,1,0.9756941497219506
A12,15,A32,A43,802,A61,A75,4,male_single,A101,3,A123,37,A143,A152,1,A173,2,A191,yes,0,1,0.6824623088873741
A14,36,A34,A49,6304,A65,A75,4,male_single,A101,4,A121,36,A143,A152,2,A173,1,A191,yes,1,1,0.9304237153281835
A14,24,A32,A43,1533,A61,A72,4,female_divorced_separated_married,A101,3,A123,38,A142,A152,1,A173,1,A192,yes,1,1,0.7406072560353398
A11,14,A32,A40,8978,A61,A75,1,male_divorced_separated,A101,4,A122,45,A143,A152,1,A174,1,A192,no,0,1,0.6659655333056709
A14,24,A32,A43,999,A65,A75,4,male_single,A101,2,A123,25,A143,A152,2,A173,1,A191,yes,1,1,0.929382803094039
A14,18,A32,A40,2662,A65,A74,4,male_single,A101,3,A122,32,A143,A152,1,A173,1,A191,no,1,1,0.9789199420391721
A14,12,A34,A42,1402,A63,A74,3,female_divorced_separated_married,A101,4,A123,37,A143,A151,1,A173,1,A192,yes,1,1,0.9749853520294113
A12,48,A31,A40,12169,A65,A71,4,male_single,A102,4,A124,36,A143,A153,1,A174,1,A192,yes,1,0,0.06951065007486165
A12,48,A32,A43,3060,A61,A74,4,male_single,A101,4,A121,28,A143,A152,2,A173,1,A191,yes,0,1,0.5393666477557963
A11,30,A32,A45,11998,A61,A72,1,male_divorced_separated,A101,1,A124,34,A143,A152,1,A172,1,A192,yes,0,0,0.10845612342798565
A14,9,A32,A43,2697,A61,A73,1,male_single,A101,2,A121,32,A143,A152,1,A173,2,A191,yes,1,1,0.9533212260352089
A14,18,A34,A43,2404,A61,A73,2,female_divorced_separated_married,A101,2,A123,26,A143,A152,2,A173,1,A191,yes,1,1,0.9242040644614041
A11,12,A32,A42,1262,A65,A75,2,male_divorced_separated,A101,4,A122,49,A143,A152,1,A172,1,A192,yes,1,1,0.8526203761675463
A14,6,A32,A42,4611,A61,A72,1,female_divorced_separated_married,A101,4,A122,32,A143,A152,1,A173,1,A191,yes,0,1,0.8880844643680341
A14,24,A32,A43,1901,A62,A73,4,male_single,A101,4,A123,29,A143,A151,1,A174,1,A192,yes,1,1,0.882036849075026
A14,15,A34,A41,3368,A64,A75,3,male_single,A101,4,A124,23,A143,A151,2,A173,1,A192,yes,1,1,0.9843803888950974
A14,12,A32,A42,1574,A61,A73,4,male_single,A101,2,A121,50,A143,A152,1,A173,1,A191,yes,1,1,0.9249123438191381
A13,18,A31,A43,1445,A65,A74,4,male_single,A101,4,A123,49,A141,A152,1,A172,1,A191,yes,1,1,0.8530472978584738
A14,15,A34,A42,1520,A65,A75,4,male_single,A101,4,A122,63,A143,A152,1,A173,1,A191,yes,1,1,0.9853205946698529
A12,24,A34,A40,3878,A62,A72,4,male_divorced_separated,A101,2,A123,37,A143,A152,1,A173,1,A192,yes,1,0,0.49594923047282824
A11,47,A32,A40,10722,A61,A72,1,female_divorced_separated_married,A101,1,A121,35,A143,A152,1,A172,1,A192,yes,1,0,0.16471304787461571
A11,48,A32,A41,4788,A61,A74,4,male_single,A101,3,A122,26,A143,A152,1,A173,2,A191,yes,1,1,0.5107621128297597
A12,48,A33,A410,7582,A62,A71,2,male_single,A101,4,A124,31,A143,A153,1,A174,1,A192,yes,1,1,0.6979677870999755
A12,12,A32,A43,1092,A61,A73,4,female_divorced_separated_married,A103,4,A121,49,A143,A152,2,A173,1,A192,yes,1,1,0.8572461284386697
A11,24,A33,A43,1024,A61,A72,4,male_married_widowed,A101,4,A121,48,A142,A152,1,A173,1,A191,yes,0,0,0.4541831920227611
A14,12,A32,A49,1076,A61,A73,2,male_married_widowed,A101,2,A121,26,A143,A152,1,A173,1,A192,no,1,1,0.9826698695287975
A12,36,A32,A41,9398,A61,A72,1,male_married_widowed,A101,4,A123,28,A143,A151,1,A174,1,A192,yes,0,1,0.5561320018579722
A11,24,A34,A41,6419,A61,A75,2,female_divorced_separated_married,A101,4,A124,44,A143,A153,2,A174,2,A192,yes,1,1,0.7395066984072849
A13,42,A34,A41,4796,A61,A75,4,male_single,A101,4,A124,56,A143,A153,1,A173,1,A191,yes,1,1,0.8726701926243481
A14,48,A34,A49,7629,A65,A75,4,male_divorced_separated,A101,2,A123,46,A141,A152,2,A174,2,A191,yes,1,1,0.6039491888701717
A12,48,A32,A42,9960,A61,A72,1,female_divorced_separated_married,A101,2,A123,26,A143,A152,1,A173,1,A192,yes,0,0,0.31445176280232834
A14,12,A32,A41,4675,A65,A72,1,female_divorced_separated_married,A101,4,A123,20,A143,A151,1,A173,1,A191,yes,1,1,0.9600688831857378
A14,10,A32,A40,1287,A65,A75,4,male_single,A102,2,A122,45,A143,A152,1,A172,1,A191,no,1,1,0.9699568658686483
A14,18,A32,A42,2515,A61,A73,3,male_single,A101,4,A121,43,A143,A152,1,A173,1,A192,yes,1,1,0.938940874591421
A12,21,A34,A42,2745,A64,A74,3,male_single,A101,2,A123,32,A143,A152,2,A173,1,A192,yes,1,1,0.9705907338864517
A14,6,A32,A40,672,A61,A71,1,female_divorced_separated_married,A101,4,A121,54,A143,A152,1,A171,1,A192,yes,1,1,0.9575208183509871
A12,36,A30,A43,3804,A61,A73,4,female_divorced_separated_married,A101,1,A123,42,A143,A152,1,A173,1,A192,yes,0,0,0.3320475677869228
A13,24,A34,A40,1344,A65,A74,4,male_single,A101,2,A121,37,A141,A152,2,A172,2,A191,yes,0,1,0.8587712837619168
A11,10,A34,A40,1038,A61,A74,4,male_single,A102,3,A122,49,A143,A152,2,A173,1,A192,yes,1,1,0.7234351409716102
A14,48,A34,A40,10127,A63,A73,2,male_single,A101,2,A124,44,A141,A153,1,A173,1,A191,yes,0,1,0.5815838479698414
A14,6,A32,A42,1543,A64,A73,4,male_divorced_separated,A101,2,A121,33,A143,A152,1,A173,1,A191,yes,1,1,0.9505425858752412
A14,30,A32,A41,4811,A65,A74,2,female_divorced_separated_married,A101,4,A122,24,A142,A151,1,A172,1,A191,yes,1,1,0.9289423158450205
A11,12,A32,A43,727,A62,A72,4,male_married_widowed,A101,3,A124,33,A143,A152,1,A172,1,A192,yes,0,1,0.5493704560321054
A12,8,A32,A42,1237,A61,A73,3,female_divorced_separated_married,A101,4,A121,24,A143,A152,1,A173,1,A191,yes,0,1,0.6788813284159596
A12,9,A32,A40,276,A61,A73,4,male_married_widowed,A101,4,A121,22,A143,A151,1,A172,1,A191,yes,1,0,0.3561383507407181
A12,48,A32,A410,5381,A65,A71,3,male_single,A101,4,A124,40,A141,A153,1,A171,1,A192,yes,1,1,0.7263533830326686
A14,24,A32,A42,5511,A62,A73,4,male_single,A101,1,A123,25,A142,A152,1,A173,1,A191,yes,1,1,0.7239150447608415
A13,24,A32,A42,3749,A61,A72,2,female_divorced_separated_married,A101,4,A123,26,A143,A152,1,A173,1,A191,yes,1,1,0.651809697528735
A12,12,A32,A40,685,A61,A74,2,male_married_widowed,A101,3,A123,25,A141,A152,1,A172,1,A191,yes,0,1,0.553614306065421
A13,4,A32,A40,1494,A65,A72,1,male_single,A101,2,A121,29,A143,A152,1,A172,2,A191,no,1,1,0.9794325466432097
A11,36,A31,A42,2746,A61,A75,4,male_single,A101,4,A123,31,A141,A152,1,A173,1,A191,yes,0,0,0.15098856425777027
A11,12,A32,A42,708,A61,A73,2,male_single,A103,3,A122,38,A143,A152,1,A172,2,A191,yes,1,1,0.8651024073516568
A12,24,A32,A42,4351,A65,A73,1,female_divorced_separated_married,A101,4,A122,48,A143,A152,1,A172,1,A192,yes,1,1,0.8680939464679993
A14,12,A34,A46,701,A61,A73,4,male_single,A101,2,A123,32,A143,A152,2,A173,1,A191,yes,1,1,0.8735788002773531
A11,15,A33,A42,3643,A61,A75,1,female_divorced_separated_married,A101,4,A122,27,A143,A152,2,A172,1,A191,yes,1,1,0.6029832866286952
A12,30,A34,A40,4249,A61,A71,4,male_married_widowed,A101,2,A123,28,A143,A152,2,A174,1,A191,yes,0,0,0.30026893220735223
A11,24,A32,A43,1938,A61,A72,4,male_divorced_separated,A101,3,A122,32,A143,A152,1,A173,1,A191,yes,0,0,0.2868400783245648
A11,24,A32,A41,2910,A61,A74,2,male_single,A101,1,A124,34,A143,A153,1,A174,1,A192,yes,1,1,0.8927776457313871
A11,18,A32,A42,2659,A64,A73,4,male_single,A101,2,A123,28,A143,A152,1,A173,1,A191,yes,1,1,0.7921328272976232
A14,18,A34,A40,1028,A61,A73,4,female_divorced_separated_married,A101,3,A121,36,A143,A152,2,A173,1,A191,yes,1,1,0.8154421496865241
A11,8,A34,A40,3398,A61,A74,1,male_single,A101,4,A121,39,A143,A152,2,A172,1,A191,no,1,1,0.9656278155684878
A14,12,A34,A42,5801,A65,A75,2,male_single,A101,4,A122,49,A143,A151,1,A173,1,A192,yes,1,1,0.9830023090637668
A14,24,A32,A40,1525,A64,A74,4,female_divorced_separated_married,A101,3,A123,34,A143,A152,1,A173,2,A192,yes,1,1,0.9219695867296047
A13,36,A32,A43,4473,A61,A75,4,male_single,A101,2,A123,31,A143,A152,1,A173,1,A191,yes,1,1,0.6202591971799984
A12,6,A32,A43,1068,A61,A75,4,male_single,A101,4,A123,28,A143,A152,1,A173,2,A191,yes,1,1,0.6994658543366983
A11,24,A34,A41,6615,A61,A71,2,male_single,A101,4,A124,75,A143,A153,2,A174,1,A192,yes,1,1,0.8834159149572451
A14,18,A34,A46,1864,A62,A73,4,female_divorced_separated_married,A101,2,A121,30,A143,A152,2,A173,1,A191,yes,0,1,0.8321681766520899
A12,60,A32,A40,7408,A62,A72,4,female_divorced_separated_married,A101,2,A122,24,A143,A152,1,A174,1,A191,yes,0,0,0.07426615587807149
A14,48,A34,A41,11590,A62,A73,2,female_divorced_separated_married,A101,4,A123,24,A141,A151,2,A172,1,A191,yes,0,1,0.6285038347708058
A11,24,A30,A42,4110,A61,A75,3,male_single,A101,4,A124,23,A141,A151,2,A173,2,A191,yes,0,0,0.0680768254512366
A11,6,A34,A42,3384,A61,A73,1,male_divorced_separated,A101,4,A121,44,A143,A151,1,A174,1,A192,yes,0,1,0.8312546254644444
A12,13,A32,A43,2101,A61,A72,2,female_divorced_separated_married,A103,4,A122,23,A143,A152,1,A172,1,A191,yes,1,1,0.8197766152475433
A11,15,A32,A44,1275,A65,A73,4,female_divorced_separated_married,A101,2,A123,24,A143,A151,1,A173,1,A191,yes,0,0,0.48189765586263045
A11,24,A32,A42,4169,A61,A73,4,male_single,A101,4,A122,28,A143,A152,1,A173,1,A191,yes,1,0,0.3912970735132461
A12,10,A32,A42,1521,A61,A73,4,male_divorced_separated,A101,2,A123,31,A143,A152,1,A172,1,A191,yes,1,1,0.5004526485037928
A12,24,A34,A46,5743,A61,A72,2,female_divorced_separated_married,A101,4,A124,24,A143,A153,2,A173,1,A192,yes,1,0,0.38001341254376253
A11,21,A32,A42,3599,A61,A74,1,female_divorced_separated_married,A101,4,A123,26,A143,A151,1,A172,1,A191,yes,1,1,0.6092137849956096
A12,18,A32,A43,3213,A63,A72,1,male_married_widowed,A101,3,A121,25,A143,A151,1,A173,1,A191,yes,1,1,0.7165137233897569
A12,18,A32,A49,4439,A61,A75,1,male_single,A102,1,A121,33,A141,A152,1,A174,1,A192,yes,1,1,0.6746150447152214
A13,10,A32,A40,3949,A61,A72,1,male_single,A103,1,A122,37,A143,A152,1,A172,2,A191,yes,1,1,0.870271027145369
A14,15,A34,A43,1459,A61,A73,4,female_divorced_separated_married,A101,2,A123,43,A143,A152,1,A172,1,A191,yes,1,1,0.9301752561152667
A12,13,A34,A43,882,A61,A72,4,male_single,A103,4,A121,23,A143,A152,2,A173,1,A191,yes,1,1,0.9150868879757577
A12,24,A32,A43,3758,A63,A71,1,female_divorced_separated_married,A101,4,A124,23,A143,A151,1,A171,1,A191,yes,1,1,0.5708070169468307
A14,6,A33,A49,1743,A62,A73,1,male_single,A101,2,A121,34,A143,A152,2,A172,1,A191,yes,1,1,0.976107441848548
A12,9,A34,A46,1136,A64,A75,4,male_single,A101,3,A124,32,A143,A153,2,A173,2,A191,yes,0,1,0.8168403383326168
A14,9,A32,A44,1236,A61,A72,1,female_divorced_separated_married,A101,4,A121,23,A143,A151,1,A173,1,A192,yes,1,1,0.8969982780009712
A12,9,A32,A42,959,A61,A73,1,female_divorced_separated_married,A101,2,A123,29,A143,A152,1,A173,1,A191,no,0,1,0.9341699948964068
A14,18,A34,A41,3229,A65,A71,2,male_single,A101,4,A124,38,A143,A152,1,A174,1,A192,yes,1,1,0.9916208341546607
A11,12,A30,A43,6199,A61,A73,4,male_single,A101,2,A122,28,A143,A151,2,A173,1,A192,yes,0,0,0.23729825977649588
A14,10,A32,A46,727,A63,A75,4,male_single,A101,4,A124,46,A143,A153,1,A173,1,A192,yes,1,1,0.888852154037579
A12,24,A32,A40,1246,A61,A72,4,male_single,A101,2,A121,23,A142,A152,1,A172,1,A191,yes,0,0,0.2957785960920344
A14,12,A34,A43,2331,A65,A75,1,male_single,A102,4,A121,49,A143,A152,1,A173,1,A192,yes,1,1,0.9945619871807011
A14,36,A33,A43,4463,A61,A73,4,male_single,A101,2,A123,26,A143,A152,2,A174,1,A192,yes,0,1,0.8036230046601205
A14,12,A32,A43,776,A61,A73,4,male_married_widowed,A101,2,A121,28,A143,A152,1,A173,1,A191,yes,1,1,0.8771235535212659
A11,30,A32,A42,2406,A61,A74,4,female_divorced_separated_married,A101,4,A121,23,A143,A151,1,A173,1,A191,yes,0,0,0.37741881912452213
A12,18,A32,A46,1239,A65,A73,4,male_single,A101,4,A124,61,A143,A153,1,A173,1,A191,yes,1,1,0.6994081643002645
A13,12,A32,A43,3399,A65,A75,2,male_single,A101,3,A123,37,A143,A152,1,A174,1,A191,yes,1,1,0.9534788261900601
A13,12,A33,A40,2247,A61,A73,2,female_divorced_separated_married,A101,2,A123,36,A142,A152,2,A173,1,A192,yes,1,1,0.6046018215329589
A14,6,A32,A42,1766,A61,A73,1,male_married_widowed,A101,2,A122,21,A143,A151,1,A173,1,A191,yes,1,1,0.8868093932732759
A11,18,A32,A42,2473,A61,A71,4,male_single,A101,1,A123,25,A143,A152,1,A171,1,A191,yes,0,1,0.5757284532992747
A14,12,A32,A49,1542,A61,A74,2,male_single,A101,4,A123,36,A143,A152,1,A173,1,A192,yes,1,1,0.974442341726689
A14,18,A34,A41,3850,A61,A74,3,male_single,A101,1,A123,27,A143,A152,2,A173,1,A191,yes,1,1,0.9809747950887747
A11,18,A32,A42,3650,A61,A72,1,female_divorced_separated_married,A101,4,A123,22,A143,A151,1,A173,1,A191,yes,1,0,0.4214069898179275
A11,36,A32,A42,3446,A61,A75,4,male_single,A101,2,A123,42,A143,A152,1,A173,2,A191,yes,0,0,0.3681328465672731
A12,18,A32,A42,3001,A61,A74,2,female_divorced_separated_married,A101,4,A121,40,A143,A151,1,A173,1,A191,yes,1,1,0.7332485697617251
A14,36,A32,A40,3079,A65,A73,4,male_single,A101,4,A121,36,A143,A152,1,A173,1,A191,yes,1,1,0.8349278237000959
A14,18,A34,A43,6070,A61,A75,3,male_single,A101,4,A123,33,A143,A152,2,A173,1,A192,yes,1,1,0.9385149531206244
A14,10,A34,A42,2146,A61,A72,1,female_divorced_separated_married,A101,3,A121,23,A143,A151,2,A173,1,A191,yes,1,1,0.9285708013021206
A14,60,A34,A40,13756,A65,A75,2,male_single,A101,4,A124,63,A141,A153,1,A174,1,A192,yes,1,1,0.6924224986293972
A12,60,A31,A410,14782,A62,A75,3,female_divorced_separated_married,A101,4,A124,60,A141,A153,2,A174,1,A192,yes,0,0,0.07532508634387246
A11,48,A31,A49,7685,A61,A74,2,female_divorced_separated_married,A103,4,A123,37,A143,A151,1,A173,1,A191,yes,0,0,0.30705189295471663
A14,18,A33,A43,2320,A61,A71,2,male_married_widowed,A101,3,A121,34,A143,A152,2,A173,1,A191,yes,1,1,0.9004423018347426
A14,7,A33,A43,846,A65,A75,3,male_single,A101,4,A124,36,A143,A153,1,A173,1,A191,yes,1,1,0.9773600035347082
A12,36,A32,A40,14318,A61,A75,4,male_single,A101,2,A124,57,A143,A153,1,A174,1,A192,yes,0,0,0.1441070329413673
A14,6,A34,A40,362,A62,A73,4,female_divorced_separated_married,A101,4,A123,52,A143,A152,2,A172,1,A191,yes,1,1,0.909074635407551
A11,20,A32,A42,2212,A65,A74,4,male_single,A101,4,A123,39,A143,A152,1,A173,1,A192,yes,1,1,0.8844156302321857
A12,18,A32,A41,12976,A61,A71,3,female_divorced_separated_married,A101,4,A124,38,A143,A153,1,A174,1,A192,yes,0,0,0.4490106951011275
A14,22,A32,A40,1283,A65,A74,4,female_divorced_separated_married,A101,4,A122,25,A143,A151,1,A173,1,A191,yes,1,1,0.8137913879567904
A13,12,A32,A40,1330,A61,A72,4,male_single,A101,1,A121,26,A143,A152,1,A173,1,A191,yes,1,1,0.6439830290577263
A14,30,A33,A49,4272,A62,A73,2,male_single,A101,2,A122,26,A143,A152,2,A172,1,A191,yes,1,1,0.881896778542377
A14,18,A34,A43,2238,A61,A73,2,female_divorced_separated_married,A101,1,A123,25,A143,A152,2,A173,1,A191,yes,1,1,0.9250933805935314
A14,18,A32,A43,1126,A65,A72,4,female_divorced_separated_married,A101,2,A121,21,A143,A151,1,A173,1,A192,yes,1,1,0.9043385123643188
A12,18,A34,A42,7374,A61,A71,4,male_single,A101,4,A122,40,A142,A152,2,A174,1,A192,yes,1,1,0.5343633835747522
A12,15,A34,A49,2326,A63,A73,2,male_single,A101,4,A123,27,A141,A152,1,A173,1,A191,yes,1,1,0.8395352742206241
A14,9,A32,A49,1449,A61,A74,3,female_divorced_separated_married,A101,2,A123,27,A143,A152,2,A173,1,A191,yes,1,1,0.9004156326782323
A14,18,A32,A40,1820,A61,A73,2,male_married_widowed,A101,2,A122,30,A143,A152,1,A174,1,A192,yes,1,1,0.8257916740633834
