applicant_id,gender,ethnicity,age,age_group,disability_status,veteran_status,education_level,application_date,application_month,application_quarter,department,hiring_manager,university_prestige,gpa,degree_relevance,years_experience,career_gap_months,previous_employer_tier,technical_skills_score,communication_skills,leadership_potential,problem_solving,cultural_fit,adaptability_score,technical_interview_score,behavioral_interview_score,case_study_score,panel_interview_score,referral_source,alumni_connection,internal_referral_strength,location_tier,socioeconomic_background,first_generation_college,previous_application_count,previous_rejection_count,previous_salary,self_reported_skills,verified_skills,true_competency_score,y_true,biased_competency_score,y_pred,y_prob,group_gender,group_ethnicity,group_age,group_disability,group_education,group_department,group
808,Male,Asian,60,55-59,None,Prefer not to say,Bachelors,2023-01-06,1,Q1-2023,Operations,Manager_20,Regional,2.6035113457080494,Low,5,4,Mid-size,85.0,58.525022226961084,65.62721375973801,100.0,45.523896960468065,77.28836596135062,54.72994080928132,51.12803234620513,58.50600328977305,58.983873476533034,Campus Recruiting,0,Weak,International,Middle,1,3,1,92769.32412598803,95.05235857317005,86.3188859829836,70.7591868790529,0,57.352272358696936,0,0.4779356029891411,Male,Asian,55-59,None,Bachelors,Operations,Male
809,Female,White,34,30-34,None,Non-veteran,Bachelors,2023-04-11,4,Q2-2023,Engineering,Manager_4,Regional,3.2736260533622534,High,8,24,Government,67.49331530402259,49.738132436574105,54.62945573460681,75.00376005892252,57.93502107554845,42.179321058323,74.98774495986869,59.02555294051221,44.841727566490576,92.53101296352209,Direct Application,0,Medium,Rural,Low,0,3,3,,91.525433220693,63.147679267428714,68.47588116403814,0,49.89802896736627,0,0.4158169080613856,Female,White,30-34,None,Bachelors,Engineering,Female
810,Female,Hispanic,38,35-39,None,Non-veteran,High School,2023-03-01,3,Q1-2023,Product,Manager_20,Regional,3.3853767480324497,Medium,18,22,Startup,53.83563302342536,92.0,61.976425129580434,91.66230362823906,60.58006943887268,50.86006562771594,49.77905619138612,60.18447671216961,36.19692592088904,88.20833788501216,Employee Referral,1,None,Tier-1,Lower-middle,1,2,2,,70.56086161794369,42.991741290771955,76.54445477165618,1,55.9226227691304,0,0.46602185640942,Female,Hispanic,35-39,None,High School,Product,Female
811,Male,Asian,47,45-49,None,Non-veteran,Bachelors,2023-08-11,8,Q3-2023,Product,Manager_20,Regional,2.7620031423240934,High,2,0,Startup,62.181465957436146,52.637519578099784,41.0132127080348,73.66672325777724,60.35985475509738,86.80771340105773,94.50155560499091,77.6743318219621,74.54539155772798,100.0,Recruiter,1,None,Tier-1,Middle,1,2,0,,68.5757842085266,68.4117039153738,71.63255545568741,0,71.30106806668549,1,0.5941755672223791,Male,Asian,45-49,None,Bachelors,Product,Male
812,Male,Black,28,25-29,Physical,Non-veteran,Associate,2023-04-10,4,Q2-2023,Sales,Manager_3,Top-100,2.5862628388895144,Low,2,4,Mid-size,83.69831778144031,52.655058614601984,81.12704617063065,73.77810328781673,41.17977435857053,73.04598106197237,72.01889163876059,72.19415031426325,81.44218674257073,83.37987965872168,Recruiter,0,None,Tier-2,Upper-middle,0,1,0,104535.07833531246,85.78445900423847,92.0,71.93900763910072,0,43.8986338363392,0,0.36582194863616,Male,Black,25-29,Physical,Associate,Sales,Male
813,Male,White,34,30-34,None,Non-veteran,Associate,2023-12-21,12,Q4-2023,HR,Manager_3,International,2.7294028830090737,High,2,3,Tech-Giant,82.35941249054649,100.0,82.87272697041662,75.64918734020085,100.0,52.54759519214828,59.302667442139196,88.73938686023412,67.66590479163449,83.26119289503812,Employee Referral,0,Medium,Tier-1,Lower-middle,1,3,1,,82.71230883843322,56.279703326977106,75.58664605932131,1,87.46501794073974,1,0.7288751495061645,Male,White,30-34,None,Associate,HR,Male
814,Female,Mixed,53,50-54,None,Prefer not to say,Bachelors,2023-12-09,12,Q4-2023,Marketing,Manager_3,Top-100,2.9041404383564986,High,9,13,Startup,68.46478570771495,59.085752581301236,54.60798576542905,99.49383629648125,43.40113938164228,67.40575793716411,71.78535863797137,75.90138069892394,57.93417363277282,83.90533987542652,Career Fair,0,Weak,Tier-1,Low,1,1,0,112510.31349299508,64.91030197596776,38.19602082799745,76.69045198610834,1,44.7521233875661,0,0.3729343615630508,Female,Mixed,50-54,None,Bachelors,Marketing,Female
815,Female,White,40,35-39,None,Non-combat Veteran,Associate,2023-12-26,12,Q4-2023,Product,Manager_19,Regional,3.166465786362263,Low,0,13,Mid-size,67.08828171062905,90.77524183078293,45.38520578451926,72.14558633136859,34.38717597513139,86.27622841654731,97.0,74.30364969444246,73.72885685575585,79.9805278470744,Direct Application,0,None,Tier-3,Middle,0,0,0,101822.80694690155,90.24422433887993,60.577522054265216,77.83543098988422,1,64.60320058227401,1,0.5383600048522834,Female,White,35-39,None,Associate,Product,Female
816,Female,White,51,50-54,None,Prefer not to say,Bachelors,2023-09-13,9,Q3-2023,Sales,Manager_3,Regional,3.4977630605983694,Low,1,24,Mid-size,78.0,65.55232295192778,97.05800932087078,108.0,52.543705846398666,100.0,92.0,59.05663302277215,46.45539572154064,58.46339546126673,Recruiter,0,Medium,Tier-1,Middle,0,1,1,117292.70004094832,78.92927720341181,85.36048062746535,90.5050544255862,1,64.13676274654999,1,0.5344730228879165,Female,White,50-54,None,Bachelors,Sales,Female
817,Female,Hispanic,57,55-59,Physical,Non-veteran,Associate,2023-09-27,9,Q3-2023,Marketing,Manager_18,Regional,2.772388632439435,High,1,15,Startup,47.9844621125461,50.532061939142295,51.48144607029862,51.348931206194806,2.0937659668823443,56.32976800518526,47.120885979583804,90.7090146955715,75.498561206767,80.77053674698342,Employee Referral,0,Strong,International,Middle,1,0,0,89524.58512886497,92.40305039228899,94.0,54.920559122416485,0,17.22728126498349,0,0.14356067720819574,Female,Hispanic,55-59,Physical,Associate,Marketing,Female
818,Female,Black,53,50-54,None,Non-veteran,Bachelors,2023-09-09,9,Q3-2023,HR,Manager_15,Regional,3.161506825421079,High,10,12,Unemployed,26.464664663734276,83.74546290705712,90.6405524638168,77.4644098860019,31.173524387893508,72.29885370353894,40.55600618479667,81.30423514363017,66.80614255926774,68.57017437610001,Career Fair,0,Weak,Tier-2,Middle,0,2,2,93592.62663138352,65.94710577401358,47.32636447778336,71.55032323062558,0,26.7231297762049,0,0.22269274813504084,Female,Black,50-54,None,Bachelors,HR,Female
819,Female,Asian,61,60+,None,Non-veteran,Bachelors,2023-03-05,3,Q1-2023,Operations,Manager_7,Top-100,3.1485991016864245,Medium,22,12,Government,19.657667365349923,47.07327000503083,45.91860107601866,68.77660470546469,82.14675500177503,32.10586933202473,71.5710604983907,82.69938120313765,49.94131974836415,84.11731726978705,LinkedIn,0,None,Tier-2,Middle,1,1,0,91784.67148964765,50.88018777357894,45.855660644473446,67.79550808971008,0,42.114979879805816,0,0.35095816566504845,Female,Asian,60+,None,Bachelors,Operations,Female
820,Female,White,36,35-39,None,Non-veteran,Bachelors,2023-05-01,5,Q2-2023,Operations,Manager_12,Regional,3.550213209390242,Low,8,13,Mid-size,42.47565089321844,49.81897753872292,57.30694819304327,77.10935983822176,45.7756777761777,80.75801172445995,76.5624303413966,81.01047433805907,64.74054054860134,94.06332661623865,Employee Referral,0,Medium,Rural,Lower-middle,0,0,0,115835.04749108518,56.786049751914845,50.50787130029336,74.68178671280384,0,64.26077975220493,1,0.535506497935041,Female,White,35-39,None,Bachelors,Operations,Female
821,Female,White,49,45-49,None,Non-veteran,Bachelors,2023-12-14,12,Q4-2023,Marketing,Manager_17,Top-100,4.0,Medium,2,14,Fortune-500,61.73674740210936,69.31274163680865,71.55569793893007,66.25511127566207,75.82148705323847,47.82614770432943,57.316294683095606,98.54569546926206,62.101378605312306,75.07448871018039,Employee Referral,0,None,Tier-1,Prefer not to say,0,2,2,,38.95900831450359,22.952583185060398,73.17966902108951,0,69.42851378674968,1,0.578570948222914,Female,White,45-49,None,Bachelors,Marketing,Female
822,Female,Asian,19,18-24,None,Non-veteran,Bachelors,2023-06-21,6,Q2-2023,Finance,Manager_7,Community,2.8176087647067374,High,2,16,Fortune-500,29.768699450805066,90.0,49.74906119008665,96.9169458743585,63.557678982155444,64.50148203514837,25.71039822208806,91.51764661797041,61.97659402388358,67.07511699362772,Employee Referral,0,Weak,Tier-1,Middle,1,1,1,,82.71865811773493,83.20035070442208,61.97393645433732,0,47.735821340304355,0,0.39779851116920295,Female,Asian,18-24,None,Bachelors,Finance,Female
823,Female,White,37,35-39,None,Non-veteran,High School,2023-04-25,4,Q2-2023,Engineering,Manager_2,Regional,2.893241851566988,Medium,6,22,Unemployed,31.758405238203622,70.01423194544645,54.52996390602108,68.63085614785321,97.36019092961524,90.79586922798138,61.924844352915386,58.78988010232689,54.930399112413724,62.13117691732209,Recruiter,0,None,Tier-1,Upper-middle,0,2,2,146822.6043050804,43.22244189477589,10.427326580184385,64.31226954761705,0,52.49925594883267,0,0.43749379957360557,Female,White,35-39,None,High School,Engineering,Female
824,Male,White,41,40-44,None,Non-veteran,Professional,2023-06-14,6,Q2-2023,Marketing,Manager_7,International,3.8738181724911067,Low,10,4,Non-profit,86.02756142548532,43.87325035175682,30.217294592219744,41.29309291922208,74.55828426256952,88.29052908626787,100.0,90.3356072378886,90.58370889897898,73.0915390033423,Direct Application,1,None,Rural,Middle,0,1,0,,95.56563855686807,97.13106737105358,78.75431559013008,1,73.2875263470692,1,0.6107293862255767,Male,White,40-44,None,Professional,Marketing,Male
825,Male,Black,57,55-59,None,Non-veteran,Masters,2023-07-16,7,Q3-2023,Engineering,Manager_15,Regional,3.104116361831199,Medium,1,0,Tech-Giant,72.86243017649828,59.01920321239893,35.475061301897384,80.78783734935632,59.399433842207145,57.94811539397307,64.15579804034441,82.03141017873826,76.24701739041187,68.1678499611541,Career Fair,0,Strong,Tier-1,Upper-middle,1,3,1,,86.004646407938,45.01545826519188,66.33767552035849,0,45.18343208205454,0,0.3765286006837878,Male,Black,55-59,None,Masters,Engineering,Male
826,Female,Middle Eastern,30,25-29,Multiple,Non-veteran,Bachelors,2023-09-24,9,Q3-2023,Engineering,Manager_1,Top-100,2.563659437710577,High,25,25,Unemployed,72.6590928746929,64.22764533981253,53.5659566796074,95.69309165164135,35.44005177575217,68.08038838172615,48.477474859041095,89.00980879761335,68.61270710467291,92.04361909330667,Employee Referral,0,Medium,Tier-1,Lower-middle,0,3,1,,74.7071750754688,92.57943173789013,79.87077820418729,1,41.366809347456325,0,0.34472341122880273,Female,Middle Eastern,25-29,Multiple,Bachelors,Engineering,Female
827,Male,Hispanic,44,40-44,None,Non-veteran,High School,2023-07-07,7,Q3-2023,Product,Manager_13,Community,2.475647720605488,Medium,9,5,Startup,92.02947371010607,72.40988444607423,26.951465803071912,66.81328075940799,92.41194703466275,56.0028606564276,38.76328387742494,73.71266355351543,100.0,88.31353849965826,Direct Application,1,Medium,Tier-3,Lower-middle,1,2,1,,53.260598391266285,57.48343218613499,60.3973132670651,0,46.27105725117143,0,0.3855921437597619,Male,Hispanic,40-44,None,High School,Product,Male
828,Male,Black,49,45-49,None,Combat Veteran,High School,2023-02-07,2,Q1-2023,Engineering,Manager_14,For-profit,3.0381542846426743,High,37,9,Government,76.63504846193474,48.69351137296074,66.18395802104453,82.75668621687807,42.93915051878426,64.73011273976735,75.9589790844796,49.37004570643052,69.19486580954468,74.02063062991931,Campus Recruiting,0,Weak,Tier-1,Low,0,2,1,75916.86761725105,56.19597791678029,36.99826134609755,87.00731374605373,1,47.25778633795905,0,0.3938148861496587,Male,Black,45-49,None,High School,Engineering,Male
829,Female,White,30,25-29,None,Non-veteran,PhD,2023-07-12,7,Q3-2023,Sales,Manager_18,Top-100,3.038548053952844,Medium,11,16,Government,32.7787903856849,67.68639432830453,33.2907593905194,73.73350955926641,60.245658042689215,72.86054801749087,76.58730114672304,89.44804181688522,72.10687257288633,89.54769188806357,Employee Referral,0,Weak,International,Lower-middle,0,3,0,98272.69370316727,91.98546554326042,75.94600478324841,70.7679430177238,0,63.45878428625278,1,0.5288232023854398,Female,White,25-29,None,PhD,Sales,Female
830,Female,White,23,18-24,None,Non-veteran,No Diploma,2023-06-30,6,Q2-2023,Product,Manager_10,Regional,2.689986670568843,Medium,6,15,Unemployed,33.80594670294249,58.41844824856017,37.685676634037975,90.54713711191806,50.87779573152265,64.16819418716337,70.63216467419043,55.19897795921122,98.83411056827552,62.30087101545217,Recruiter,1,None,Tier-1,Middle,1,0,0,,57.395164796924206,39.546682422772825,62.63891845518519,0,50.904149041229,0,0.4242012420102416,Female,White,18-24,None,No Diploma,Product,Female
831,Male,Hispanic,49,45-49,None,Non-veteran,High School,2023-05-22,5,Q2-2023,Engineering,Manager_15,Community,3.277866973434814,Irrelevant,7,4,Non-profit,46.61641624449585,62.5593898639826,91.64981579442147,67.29861755873199,75.69220988193067,73.16851181019288,24.945032595772098,81.2483884981534,58.2188851893183,98.5801925898,Career Fair,0,Medium,Tier-3,Middle,0,3,3,,100.0,100.0,65.67661193019153,0,39.883126130204865,0,0.33235938441837387,Male,Hispanic,45-49,None,High School,Engineering,Male
832,Female,Black,48,45-49,None,Non-veteran,High School,2023-11-17,11,Q4-2023,HR,Manager_4,Top-100,2.7166102848461824,High,3,15,Mid-size,25.59759059196829,85.15250972848814,77.82580040506288,98.44029222182344,68.37590456383576,62.249765595807744,87.13349714939294,45.537537456497276,51.99771957314243,67.69600401677933,LinkedIn,0,Weak,Tier-3,Middle,0,2,1,,70.79302457659558,59.42139847000546,72.4506288238297,0,49.09748877118794,0,0.4091457397598995,Female,Black,45-49,None,High School,HR,Female
833,Male,Asian,34,30-34,None,Prefer not to say,Bachelors,2023-01-28,1,Q1-2023,Finance,Manager_1,Regional,3.118378783033384,Medium,1,2,Fortune-500,100.0,52.553229099220324,50.93808757855633,86.6080974864809,48.89264507586016,61.71003322235923,86.26598041661288,65.1812664612083,68.37449935866964,93.02141147399851,LinkedIn,0,Weak,Tier-1,Lower-middle,0,5,3,,73.69783053735702,69.56179105686331,75.21662257849344,1,76.21096730894641,1,0.6350913942412201,Male,Asian,30-34,None,Bachelors,Finance,Male
834,Male,White,49,45-49,None,Non-veteran,Associate,2023-07-08,7,Q3-2023,Sales,Manager_13,International,2.363634834826013,Medium,14,2,Tech-Giant,79.61455527995305,65.78901851159662,103.90172256973858,76.56319377987877,70.03866009864443,84.38401148108811,56.98621959166782,96.60269272293533,93.10186062713055,73.47949437778793,Employee Referral,0,None,International,Upper-middle,0,3,2,,91.90102471172972,100.0,82.47004839639897,1,84.35093239695011,1,0.7029244366412509,Male,White,45-49,None,Associate,Sales,Male
835,Female,Hispanic,52,50-54,Cognitive,Non-veteran,Bachelors,2023-04-28,4,Q2-2023,Finance,Manager_2,Ivy League,3.2758568795533303,Medium,21,12,Startup,26.902678593164097,43.17236862872166,54.225599473524156,53.11270522157753,23.76124309332046,78.0164212291615,108.55525559153503,40.05148175775004,62.0401625027223,59.982602032559086,LinkedIn,0,Weak,Tier-2,Middle,0,2,1,70787.04491272008,66.65556645399256,64.16402032102366,73.89892822584441,0,27.907286386885687,0,0.23256071989071406,Female,Hispanic,50-54,Cognitive,Bachelors,Finance,Female
836,Female,Hispanic,46,45-49,None,Non-veteran,PhD,2023-02-21,2,Q1-2023,Engineering,Manager_13,Regional,2.673177996779114,Medium,1,20,Government,70.38555133449097,92.0,69.93935400069881,78.88622177988428,78.38840684293972,95.15184627327224,86.55690485294123,58.087835830549466,78.08069668690928,105.79509325742845,Employee Referral,0,None,Tier-2,Middle,0,2,2,110539.46759712702,55.59213825598765,72.63037431807643,77.53230797745722,1,68.33549403886595,1,0.5694624503238829,Female,Hispanic,45-49,None,PhD,Engineering,Female
837,Prefer not to say,Asian,63,60+,None,Non-veteran,Associate,2023-11-13,11,Q4-2023,Finance,Manager_6,Regional,2.8032166829252327,Low,1,1,Non-profit,35.285516106238944,86.06647015546046,74.26021214105805,100.0,60.111393662104234,54.71786840103013,63.11821039291788,57.95968738625171,68.42953888461098,61.80350408154492,LinkedIn,1,None,Tier-2,Low,0,1,0,,100.0,99.08450699501644,68.50663925098128,0,47.707115222626186,0,0.3975592935218849,Prefer not to say,Asian,60+,None,Associate,Finance,Prefer not to say
838,Male,Hispanic,50,45-49,None,Non-veteran,Bachelors,2023-05-27,5,Q2-2023,Engineering,Manager_14,Community,3.1137167834567028,Low,1,8,Government,50.25575077181206,61.83741312953258,81.87787977100997,98.48159284570092,80.75739453142582,89.36575270532471,72.82614415713203,82.76300427747911,100.0,46.7253669492619,LinkedIn,0,Weak,Tier-1,Middle,0,2,2,117698.8713222109,36.70893712484147,15.670641645306034,78.80849687549092,1,57.18859298167925,0,0.4765716081806604,Male,Hispanic,45-49,None,Bachelors,Engineering,Male
839,Non-binary,Mixed,33,30-34,None,Non-veteran,Bachelors,2023-04-17,4,Q2-2023,Engineering,Manager_16,Top-100,2.3686652579570153,Low,2,3,Mid-size,59.95525540295742,68.77414916590119,95.36483220587381,89.76089887826552,41.50216573026432,77.29548382330611,91.81816007130448,41.55175046175769,64.58268390039858,87.19090580488202,Campus Recruiting,0,None,Tier-1,Middle,0,2,2,31507.988306311097,94.49599389845905,70.32852395444326,75.44242281134532,1,57.426365110753906,0,0.4785530425896159,Non-binary,Mixed,30-34,None,Bachelors,Engineering,Non-binary
840,Female,Other,31,30-34,None,Non-veteran,Associate,2023-11-26,11,Q4-2023,HR,Manager_18,Top-100,2.8644845527385483,High,20,15,Fortune-500,59.71039576472654,63.33995045144472,90.0,98.70315781279184,53.97895042726818,44.811679182703394,37.54531267044275,69.08419024769871,86.58638489975547,59.70536352911108,LinkedIn,1,None,Tier-1,Middle,0,0,0,62422.661796693166,57.572295864093846,55.817182527417344,75.54371464938997,1,56.430182864313934,0,0.47025152386928276,Female,Other,30-34,None,Associate,HR,Female
841,Female,White,20,18-24,None,Combat Veteran,Bachelors,2023-11-26,11,Q4-2023,Operations,Manager_18,Top-20,2.5779895010060683,High,19,14,Tech-Giant,15.154733924330564,56.17574164635377,70.98807545231853,77.7069986828141,55.58974960744558,71.18751739773302,80.19840422846652,56.49444347090968,100.0,39.06256775199394,Career Fair,0,Weak,Tier-2,Low,1,2,1,,81.61545498004273,60.10159181740849,71.42011580453425,0,43.709879459894914,0,0.36424899549912426,Female,White,18-24,None,Bachelors,Operations,Female
842,Male,Hispanic,64,60+,None,Non-veteran,Bachelors,2023-06-16,6,Q2-2023,Finance,Manager_6,Regional,2.6576095259872115,High,4,5,Startup,46.948297329563815,37.93832290031855,66.466338031032,37.85355220441367,82.41318378333385,43.76803786605131,76.98494850734625,61.40421148279361,72.4159215263977,99.27756652104297,Direct Application,0,None,Rural,Upper-middle,1,2,0,,100.0,77.48504015930861,55.51002550064217,0,41.89372339091422,0,0.3491143615909518,Male,Hispanic,60+,None,Bachelors,Finance,Male
843,Male,White,23,18-24,None,Non-veteran,Associate,2023-06-28,6,Q2-2023,Product,Manager_17,Top-20,2.5983818739489317,Low,7,1,Mid-size,85.0,74.08362990069611,22.478835909103502,57.74011990885997,100.0,89.06951807957032,101.22983091132093,40.51217480247607,98.29960320417094,47.254126543295,LinkedIn,0,Medium,Tier-2,Middle,0,1,1,,75.30540414385725,72.58042047938234,69.82546460246004,0,72.95131906955355,1,0.6079276589129462,Male,White,18-24,None,Associate,Product,Male
844,Female,White,64,60+,Physical,Combat Veteran,No Diploma,2023-01-10,1,Q1-2023,HR,Manager_13,Regional,3.0058803168482506,Medium,7,20,Startup,56.8758376834774,46.993329482965336,60.07045633622814,44.20724309163576,53.60285077165241,63.68293063847729,36.15231255823401,97.15910058844577,61.60863340318487,99.11228703792008,Employee Referral,1,None,Tier-2,Middle,0,2,0,,54.44420374796819,45.24309457535479,58.84342089610827,0,29.608025674224194,0,0.2467335472852016,Female,White,60+,Physical,No Diploma,HR,Female
845,Female,Asian,52,50-54,None,Non-veteran,High School,2023-03-22,3,Q1-2023,Sales,Manager_17,Regional,2.841076428075173,Irrelevant,2,12,Government,54.06126468025619,75.34775640860214,61.93902680823942,101.1670335346528,62.6951261678034,88.65332171076383,72.89427942039083,69.28249510691158,67.02784220772725,69.82129930784856,LinkedIn,0,None,Tier-1,Lower-middle,1,3,2,36076.701016941646,78.44357191993957,73.3410177304448,75.77131490380474,1,53.57863042426233,0,0.44648858686885273,Female,Asian,50-54,None,High School,Sales,Female
846,Male,Black,47,45-49,None,Non-veteran,Bachelors,2023-02-22,2,Q1-2023,Marketing,Manager_17,Top-100,2.9316143321029395,Medium,10,6,Startup,91.20270554109158,86.40658322381587,106.74062984995909,100.0,54.033651002478464,70.18332099876083,78.82801264036603,66.82281580484235,89.38959969748582,52.52980352817544,Direct Application,0,None,Tier-2,Middle,1,4,4,,71.20609209046171,68.65182275123951,91.09826959444582,1,71.6045732810768,1,0.5967047773423066,Male,Black,45-49,None,Bachelors,Marketing,Male
847,Female,White,31,30-34,None,Non-veteran,Bachelors,2023-02-19,2,Q1-2023,Sales,Manager_14,Regional,3.1662084165793356,Medium,8,12,Unemployed,47.80443072908418,90.47377212951284,11.738039299599485,73.25816255855078,70.11292655681103,50.97551804196118,43.43856489666374,77.17080758437363,47.327469451144225,88.62930771520207,Employee Referral,0,None,Tier-3,Low,1,3,2,51494.35165002756,50.66105732092127,25.00195777620032,60.035724534546965,0,48.507918461288476,0,0.40423265384407064,Female,White,30-34,None,Bachelors,Sales,Female
848,Female,White,25,18-24,Physical,Non-combat Veteran,PhD,2023-02-17,2,Q1-2023,Product,Manager_14,Top-100,3.258054428303839,Medium,18,12,Fortune-500,42.43213355826,43.38292455639268,71.9022457201062,97.6209204962027,34.78310125117439,85.61487756587395,62.3488416478874,65.88172089870008,82.0201102941481,88.62266733050302,Career Fair,0,None,Rural,Middle,0,2,2,,70.38638559197621,63.47639299051053,78.63518659579857,1,38.77312207374464,0,0.32310935061453866,Female,White,18-24,Physical,PhD,Product,Female
849,Female,White,63,60+,None,Non-veteran,Bachelors,2023-02-04,2,Q1-2023,HR,Manager_14,Top-100,3.4424175188477397,Irrelevant,0,14,Mid-size,75.0,94.71922646606961,53.054785651284305,61.11468086679222,37.71541531126964,64.793332612818,56.052446365896245,64.78964971674561,86.95311221715228,100.0,LinkedIn,0,None,Tier-1,Lower-middle,0,3,1,80444.91226243306,93.07926655402247,94.0,67.29304097766465,0,44.06937743938548,0,0.36724481199487896,Female,White,60+,None,Bachelors,HR,Female
850,Female,Black,18,nan,None,Combat Veteran,Masters,2023-05-27,5,Q2-2023,Engineering,Manager_6,Regional,2.9155295323544865,Low,32,18,Mid-size,40.086215130619024,51.579175749855985,58.9916832567782,67.76959775897508,68.38928917322215,79.0291615458116,59.439522554125105,83.76435848337073,76.92676520801253,66.11891872676472,LinkedIn,0,Medium,Tier-2,Middle,1,1,0,64334.42116601047,72.14041267382657,82.82877874017954,78.3880437818222,1,40.99418473664057,0,0.3416182061386714,Female,Black,nan,None,Masters,Engineering,Female
851,Male,Asian,36,35-39,Physical,Non-veteran,Bachelors,2023-07-16,7,Q3-2023,Marketing,Manager_18,Top-100,3.1046098475554893,Medium,0,19,Mid-size,50.91253248859961,69.44713191866704,29.01344164318173,100.0,61.102228970211996,94.37763778573068,86.89333718800128,72.68387278874532,86.55707306698332,78.48531264619108,Direct Application,0,None,Tier-3,Upper-middle,0,2,2,,79.36679357161083,78.37546962186235,74.33682089997846,0,55.93619863101867,0,0.46613498859182223,Male,Asian,35-39,Physical,Bachelors,Marketing,Male
852,Female,White,61,60+,None,Non-veteran,Bachelors,2023-09-07,9,Q3-2023,Sales,Manager_3,International,2.7732188527212087,Medium,2,24,Tech-Giant,54.49907923239468,57.37860445989298,68.19921263719446,40.32292849394754,58.72899790514067,76.09473549865754,54.70522651381552,27.942360949538543,85.95334354186593,86.82895257704385,Direct Application,0,Weak,International,Lower-middle,0,4,3,92411.12793598528,66.34556619816489,46.11085731143308,52.800777466544595,0,32.559063348677945,0,0.27132552790564957,Female,White,60+,None,Bachelors,Sales,Female
853,Male,White,55,50-54,None,Non-veteran,Bachelors,2023-04-09,4,Q2-2023,Sales,Manager_14,Regional,3.525933678703255,High,2,1,Startup,42.002469858174166,93.11999594620625,45.663333412120785,108.0,36.1260368895183,91.98786036608492,43.09393087903345,54.94608195188337,55.110916028818934,75.53971917773454,Career Fair,0,None,Tier-1,Lower-middle,0,3,2,78815.93490367249,61.50251706669518,67.66945885007098,70.56847249201745,0,48.003715513891734,0,0.40003096261576443,Male,White,50-54,None,Bachelors,Sales,Male
854,Male,Black,19,18-24,None,Non-veteran,Associate,2023-04-20,4,Q2-2023,Marketing,Manager_11,Regional,3.7410409645067197,Irrelevant,6,4,Fortune-500,43.949077464013264,82.2978656330257,80.4013651226865,87.60127038871862,56.75267223816371,62.782042884942655,29.96980089942369,95.20689627454485,89.55262923508596,80.63622694272773,Employee Referral,0,None,Tier-2,Middle,0,3,3,63923.02409485428,97.38577876611816,92.0,73.3047361270518,0,58.22470723940639,0,0.48520589366171996,Male,Black,18-24,None,Associate,Marketing,Male
855,Male,White,21,18-24,None,Non-combat Veteran,Bachelors,2023-08-08,8,Q3-2023,Finance,Manager_1,Community,2.6857308142379828,High,0,6,Startup,24.867985278756237,100.0,88.61214923590403,52.164397025822744,48.97034764323672,63.216134821420255,85.0,74.30203747699852,42.01370354512126,100.0,LinkedIn,1,None,Tier-1,Middle,1,3,3,76318.33070759043,74.18425541959697,46.90648657185945,68.88898301646715,0,55.23307580900163,0,0.4602756317416803,Male,White,18-24,None,Bachelors,Finance,Male
856,Male,Asian,35,30-34,None,Non-veteran,High School,2023-10-11,10,Q4-2023,Finance,Manager_15,Regional,3.0731912976801707,Low,1,1,Mid-size,37.41554148408365,77.97871220113738,64.10530774195806,75.58223447792409,71.21907224179188,71.9400120718213,82.98966743593532,100.0,76.3651476564429,61.71608448456877,Recruiter,0,None,Tier-3,Middle,1,3,2,,53.4859823757762,50.866015055546164,74.96475314160436,0,72.56631969504134,1,0.6047193307920112,Male,Asian,30-34,None,High School,Finance,Male
857,Male,Asian,30,25-29,None,Combat Veteran,Bachelors,2023-10-31,10,Q4-2023,Engineering,Manager_14,Regional,3.415003809249252,Irrelevant,2,3,Startup,65.42593516325947,44.359854042960755,59.90509759065692,108.0,72.33610152091408,73.55601228075328,88.92449881758613,80.8661990131263,91.95505734549691,65.46814953156984,Agency,0,None,Tier-1,Prefer not to say,0,1,0,77566.9658776971,86.7373897581248,68.92080338628422,81.06402571290575,1,78.93837058978528,1,0.6578197549148773,Male,Asian,25-29,None,Bachelors,Engineering,Male
858,Male,White,42,40-44,None,Non-veteran,Bachelors,2023-08-30,8,Q3-2023,Sales,Manager_11,Top-100,3.0908617070317552,High,5,0,Government,48.595565172483354,66.11354006381464,42.31113024716316,108.0,52.1165467984632,61.62682619447661,77.18886306635646,82.34740097166762,81.00175010348003,75.74866955126669,LinkedIn,0,None,Tier-1,Low,1,2,0,108988.36079242479,89.66541254466841,100.0,75.27121861784211,1,62.92376914269924,1,0.524364742855827,Male,White,40-44,None,Bachelors,Sales,Male
859,Female,Hispanic,37,35-39,None,Non-veteran,Bachelors,2023-04-21,4,Q2-2023,Finance,Manager_19,Top-20,3.6252457515346874,Low,2,12,Unemployed,83.0,56.90501562345604,63.02978808074552,64.55017925746027,60.936322950493576,67.58404554862719,89.93676386347215,71.04044138525188,39.80759192177479,55.60837777047237,LinkedIn,0,Medium,Tier-1,Middle,0,3,3,,100.0,87.32749893590005,76.56873305881015,1,58.07784363776278,0,0.48398203031468984,Female,Hispanic,35-39,None,Bachelors,Finance,Female
