group,race,neighborhood,time_of_day,vehicle_type,prior_stops,y_true,y_pred,y_prob
Hispanic_Low_Income,Hispanic,Low_Income,Night,Sedan,4,0,0,0.5653550599548307
White_Low_Income,White,Low_Income,Day,SUV,3,1,1,0.6247158605979656
Black_Low_Income,Black,Low_Income,Day,Sedan,0,0,0,0.6717835368801816
Black_Mixed,Black,Mixed,Night,Sedan,2,0,0,0.48679349627692403
White_Affluent,White,Affluent,Night,SUV,3,1,1,0.534224534642806
White_Affluent,White,Affluent,Night,SUV,0,0,0,0.2699029343937627
White_Low_Income,White,Low_Income,Day,SUV,8,1,1,0.6884050411348797
White_Low_Income,White,Low_Income,Day,Luxury,1,1,1,0.5486869024685137
Hispanic_Affluent,Hispanic,Affluent,Night,SUV,1,0,0,0.5981123757354057
Black_Mixed,Black,Mixed,Day,Luxury,2,0,0,0.49623949155073277
Black_Low_Income,Black,Low_Income,Night,SUV,4,1,1,0.7132573104189313
Black_Affluent,Black,Affluent,Day,SUV,0,0,0,0.2954142740545112
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.6315009609378686
White_Low_Income,White,Low_Income,Day,Sedan,3,0,0,0.38270746594489435
White_Low_Income,White,Low_Income,Day,Luxury,4,1,1,0.5474358369617208
Black_Mixed,Black,Mixed,Night,Sedan,2,0,0,0.49691713601362303
White_Mixed,White,Mixed,Day,SUV,6,1,1,0.5415239892338178
Black_Mixed,Black,Mixed,Night,SUV,0,0,0,0.4628423905921798
Black_Affluent,Black,Affluent,Day,SUV,1,0,0,0.4667181677642786
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,3,0,0,0.4683674271965233
White_Mixed,White,Mixed,Night,Luxury,2,0,0,0.37877500697032285
Black_Mixed,Black,Mixed,Day,Sedan,2,0,0,0.3472521488678057
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,1,1,0.5315728539325516
Black_Low_Income,Black,Low_Income,Day,SUV,1,0,1,0.41575208537863356
Black_Mixed,Black,Mixed,Night,Sedan,3,0,0,0.4149282544989052
White_Low_Income,White,Low_Income,Night,Sedan,5,1,1,0.5492097353476733
White_Low_Income,White,Low_Income,Night,Sedan,1,1,1,0.5602370151299186
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,0,0,0,0.3878000878069217
White_Low_Income,White,Low_Income,Day,SUV,0,1,1,0.5348038785089632
White_Mixed,White,Mixed,Night,Sedan,0,0,0,0.3298494737361787
White_Mixed,White,Mixed,Night,Sedan,4,1,1,0.590476062807051
Black_Affluent,Black,Affluent,Day,Sedan,0,0,0,0.2654554507827848
White_Low_Income,White,Low_Income,Day,Sedan,0,0,0,0.396940090738704
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.2731523701751206
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.7454276456821629
White_Low_Income,White,Low_Income,Day,Sedan,4,1,1,0.6552717694636953
Black_Affluent,Black,Affluent,Day,Luxury,3,0,0,0.2013078582924075
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,1,1,1,0.6957026100152385
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.3239437612631357
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.5101219841827053
White_Mixed,White,Mixed,Day,SUV,1,0,0,0.3125441722359709
Black_Mixed,Black,Mixed,Day,Sedan,3,0,0,0.45050209264669305
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.2065760998779255
Hispanic_Mixed,Hispanic,Mixed,Night,Luxury,4,1,1,0.7404882085425756
White_Mixed,White,Mixed,Night,SUV,1,1,1,0.5073429172400942
White_Low_Income,White,Low_Income,Day,Sedan,2,0,0,0.4136799372832095
Black_Affluent,Black,Affluent,Night,Sedan,3,1,1,0.509575707248967
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,0,0,0.4165868684135162
White_Affluent,White,Affluent,Night,SUV,5,0,0,0.2765697426405924
White_Affluent,White,Affluent,Day,Luxury,3,0,0,0.2348199533018611
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,0,0,0.3555835091747287
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.30309108109335103
White_Low_Income,White,Low_Income,Night,Sedan,0,1,1,0.6333844101852563
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.5100859028101505
White_Mixed,White,Mixed,Day,SUV,5,1,1,0.5089681769253465
Black_Mixed,Black,Mixed,Day,Luxury,0,0,0,0.36951623570652226
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,1,1,1,0.7189485919326971
White_Low_Income,White,Low_Income,Night,SUV,2,1,1,0.6835246958404053
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,3,0,0,0.37371513164161074
White_Low_Income,White,Low_Income,Day,Sedan,1,1,1,0.5096222877014037
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,4,0,0,0.6025332519111364
White_Affluent,White,Affluent,Night,SUV,3,1,1,0.4508211617346922
Black_Mixed,Black,Mixed,Night,Luxury,0,0,0,0.44450275538397893
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.45429350176473693
White_Mixed,White,Mixed,Day,Sedan,6,0,0,0.44252130396238754
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,2,0,0,0.16891646163087606
Black_Mixed,Black,Mixed,Night,Sedan,3,1,1,0.5264447449854905
White_Affluent,White,Affluent,Night,SUV,7,1,1,0.47784815386453194
Black_Mixed,Black,Mixed,Night,Sedan,1,0,0,0.28438311128244853
Black_Mixed,Black,Mixed,Day,SUV,0,0,0,0.4084623993064564
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.10512186543055155
White_Mixed,White,Mixed,Day,SUV,3,1,1,0.5034323461098721
Black_Low_Income,Black,Low_Income,Day,SUV,0,1,1,0.9169666101191822
White_Mixed,White,Mixed,Day,Sedan,2,1,1,0.5018119566030731
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.2321918359361845
Hispanic_Low_Income,Hispanic,Low_Income,Night,Sedan,2,1,1,0.8434950049190011
White_Mixed,White,Mixed,Day,Sedan,3,0,0,0.3743348961136922
White_Affluent,White,Affluent,Day,Sedan,5,0,0,0.2818220720487029
White_Low_Income,White,Low_Income,Night,SUV,3,1,1,0.6389691597512089
Black_Mixed,Black,Mixed,Day,Sedan,1,0,0,0.2314287198513164
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.1685220717588104
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.3954140867958156
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.22434833965818987
Hispanic_Low_Income,Hispanic,Low_Income,Night,Sedan,1,1,1,0.9289725751783406
White_Low_Income,White,Low_Income,Day,Sedan,1,0,0,0.4344041566212989
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.24019735964017494
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.22832937808213985
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,3,0,0,0.43514147045065993
White_Affluent,White,Affluent,Day,Luxury,3,0,0,0.261343598445831
Hispanic_Mixed,Hispanic,Mixed,Day,Luxury,2,0,0,0.37592080151204776
Hispanic_Mixed,Hispanic,Mixed,Night,SUV,1,1,1,0.6854897280571102
Hispanic_Mixed,Hispanic,Mixed,Day,Luxury,1,0,0,0.2744955648358234
Black_Mixed,Black,Mixed,Night,SUV,2,1,1,0.6875483211157114
White_Low_Income,White,Low_Income,Night,SUV,0,1,1,0.5235905528351795
Black_Low_Income,Black,Low_Income,Day,SUV,2,1,1,0.869306734176962
Black_Mixed,Black,Mixed,Day,Sedan,2,0,0,0.471160279503277
Black_Affluent,Black,Affluent,Night,Sedan,3,0,0,0.4361031450922721
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.33587563683953603
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,2,1,1,0.6973899278883408
Black_Affluent,Black,Affluent,Day,SUV,1,0,0,0.35962209515675553
White_Low_Income,White,Low_Income,Day,SUV,1,1,1,0.5501939190461024
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,1,1,0.5199995956313063
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.5784443426498902
White_Low_Income,White,Low_Income,Night,Luxury,3,1,1,0.6274367151120613
White_Low_Income,White,Low_Income,Day,Sedan,1,0,0,0.30954001953385935
White_Affluent,White,Affluent,Day,SUV,0,0,0,0.20341045156496304
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.4393348921971805
White_Mixed,White,Mixed,Day,Sedan,5,0,0,0.4109534565820338
White_Mixed,White,Mixed,Day,Sedan,2,1,1,0.5057048812937467
Black_Affluent,Black,Affluent,Day,SUV,2,0,0,0.2805410677454768
White_Affluent,White,Affluent,Day,Sedan,4,0,0,0.20308036962994022
Black_Low_Income,Black,Low_Income,Day,Luxury,2,1,1,0.835764988761251
Black_Affluent,Black,Affluent,Night,Luxury,1,0,0,0.23003256774547237
White_Mixed,White,Mixed,Day,Sedan,3,1,1,0.544894531641318
White_Low_Income,White,Low_Income,Day,SUV,0,1,1,0.5230548287498294
Black_Mixed,Black,Mixed,Day,SUV,2,1,1,0.5360311768545678
Black_Low_Income,Black,Low_Income,Night,Sedan,5,1,1,0.8957380746183745
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,0,1,1,0.5640295395747156
Black_Mixed,Black,Mixed,Day,Sedan,2,0,0,0.42471299591336764
White_Mixed,White,Mixed,Day,Luxury,2,0,0,0.3572643426359981
White_Mixed,White,Mixed,Day,Sedan,4,0,0,0.41146110281107545
White_Mixed,White,Mixed,Night,Sedan,0,0,0,0.41544154641964104
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.3122251876642541
White_Low_Income,White,Low_Income,Day,Sedan,1,1,1,0.5270360570078105
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,2,0,0,0.4287624567636176
Black_Mixed,Black,Mixed,Night,Sedan,1,1,1,0.7003350856595274
White_Affluent,White,Affluent,Day,Luxury,3,0,0,0.1959635366804008
White_Affluent,White,Affluent,Day,Sedan,1,0,0,0.08042640703048018
White_Mixed,White,Mixed,Night,Sedan,4,0,0,0.49295164101595934
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.3494196422966404
Black_Low_Income,Black,Low_Income,Day,SUV,2,0,0,0.6049577599882181
White_Low_Income,White,Low_Income,Night,SUV,2,1,1,0.7063657529140845
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,3,1,1,0.5579842636604906
White_Affluent,White,Affluent,Day,SUV,0,0,0,0.08436064613951003
Black_Affluent,Black,Affluent,Night,Luxury,0,0,0,0.3947623119554964
White_Mixed,White,Mixed,Day,SUV,2,1,1,0.5323041413040387
Black_Mixed,Black,Mixed,Day,Sedan,3,0,0,0.49321036091793924
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.6738685232709614
White_Mixed,White,Mixed,Day,SUV,5,1,1,0.5739255764547906
Black_Low_Income,Black,Low_Income,Day,SUV,4,1,1,0.8915889951731892
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.5416785545418396
Black_Affluent,Black,Affluent,Night,SUV,2,0,0,0.43044623683618694
White_Mixed,White,Mixed,Day,SUV,0,0,0,0.3245246484365125
White_Low_Income,White,Low_Income,Night,Luxury,3,0,0,0.41190566077803137
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,3,1,1,0.7039459262610347
White_Low_Income,White,Low_Income,Day,Sedan,0,1,1,0.5582145016262898
White_Mixed,White,Mixed,Day,Sedan,0,0,0,0.39197286750141536
Black_Mixed,Black,Mixed,Night,SUV,1,1,1,0.6696105160085445
White_Mixed,White,Mixed,Night,SUV,1,1,1,0.5232156107791702
White_Low_Income,White,Low_Income,Night,Sedan,0,0,0,0.3862863930333162
White_Affluent,White,Affluent,Day,SUV,3,0,0,0.15701157362392856
White_Mixed,White,Mixed,Night,Luxury,6,1,1,0.5527527940563184
Hispanic_Mixed,Hispanic,Mixed,Night,SUV,4,1,1,0.6859252523859971
Black_Low_Income,Black,Low_Income,Night,Sedan,4,1,1,0.9789771385100774
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.6295275212048971
Black_Low_Income,Black,Low_Income,Night,SUV,3,1,1,0.876494537671477
White_Low_Income,White,Low_Income,Night,SUV,1,0,0,0.39799875898210424
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.43632555616489704
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.18994455178808375
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,2,1,1,0.6742537337360831
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,2,1,1,0.5077705825408085
White_Mixed,White,Mixed,Night,Luxury,1,1,1,0.5191714581280031
Black_Affluent,Black,Affluent,Day,Sedan,1,0,0,0.29355788414156686
White_Mixed,White,Mixed,Day,SUV,2,0,0,0.38004479395809054
White_Low_Income,White,Low_Income,Day,SUV,2,1,1,0.5652631071822121
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.6586651544954565
White_Mixed,White,Mixed,Night,SUV,1,0,0,0.4941274091601558
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.17167965080794698
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.35530108624581835
Black_Low_Income,Black,Low_Income,Night,Sedan,2,1,1,0.895624966992995
Black_Affluent,Black,Affluent,Day,Sedan,1,0,0,0.35216822126450814
White_Affluent,White,Affluent,Night,Sedan,3,0,0,0.21611817429774557
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.3238300531252645
White_Affluent,White,Affluent,Day,Sedan,3,1,1,0.40301495888797745
Black_Mixed,Black,Mixed,Day,Sedan,4,0,0,0.16544736735770554
White_Mixed,White,Mixed,Night,Sedan,4,1,1,0.5554481189645522
Black_Low_Income,Black,Low_Income,Night,SUV,3,1,1,0.8285701457795456
White_Mixed,White,Mixed,Day,SUV,3,1,1,0.5402758168868845
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.39192236810735576
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.6464399626446313
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.39306120586690935
Black_Mixed,Black,Mixed,Night,Luxury,0,1,1,0.5932719517452963
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.2313990851684163
White_Mixed,White,Mixed,Day,Sedan,3,0,0,0.46752307362477485
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,3,1,1,0.523378524068394
Black_Low_Income,Black,Low_Income,Night,SUV,0,1,1,0.8454125986325156
Black_Low_Income,Black,Low_Income,Night,Sedan,1,0,0,0.6314628168088752
White_Low_Income,White,Low_Income,Night,Sedan,1,1,1,0.7202040993706103
Hispanic_Low_Income,Hispanic,Low_Income,Night,SUV,0,1,1,0.7968912203311285
White_Low_Income,White,Low_Income,Night,SUV,1,1,1,0.6464508753471887
Black_Low_Income,Black,Low_Income,Day,Sedan,1,0,0,0.6646990469364821
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,3,0,0,0.25315736641091663
Black_Mixed,Black,Mixed,Day,SUV,0,0,0,0.3128938089832117
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.32044875741111256
White_Mixed,White,Mixed,Night,SUV,4,1,1,0.6222155287732357
White_Mixed,White,Mixed,Night,Sedan,4,1,1,0.688538262572632
White_Mixed,White,Mixed,Day,SUV,1,0,0,0.34434477480425674
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,0,0,0.2965199394592635
White_Mixed,White,Mixed,Night,SUV,0,0,0,0.4432697949866176
Black_Low_Income,Black,Low_Income,Day,SUV,4,1,1,0.713734727560771
Black_Low_Income,Black,Low_Income,Day,Sedan,3,1,1,0.8717948117152077
Black_Low_Income,Black,Low_Income,Day,Sedan,3,0,0,0.6953754872558127
White_Mixed,White,Mixed,Night,SUV,2,0,0,0.47042991704932563
White_Mixed,White,Mixed,Day,Sedan,0,0,0,0.37997960057659613
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.621024313543587
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,2,1,1,0.5634016137836239
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,1,1,1,0.5723214675642866
Black_Mixed,Black,Mixed,Day,Sedan,1,0,0,0.45231498638566126
White_Mixed,White,Mixed,Day,Sedan,3,0,0,0.28080822544918177
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,0,1,1,0.5863768162417056
White_Affluent,White,Affluent,Night,Sedan,2,0,0,0.3023751435938479
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,2,0,0,0.42391531006974487
White_Mixed,White,Mixed,Day,SUV,0,0,0,0.19168293354518104
Black_Low_Income,Black,Low_Income,Night,Sedan,1,1,1,0.8264879118820763
White_Affluent,White,Affluent,Day,Sedan,0,0,0,0.07208524629051019
White_Low_Income,White,Low_Income,Day,SUV,4,1,1,0.5446629702246056
White_Affluent,White,Affluent,Night,SUV,2,0,0,0.10636144258490934
White_Low_Income,White,Low_Income,Night,SUV,2,1,1,0.5260584868890023
Hispanic_Affluent,Hispanic,Affluent,Night,Sedan,0,0,1,0.43838026931697427
Black_Low_Income,Black,Low_Income,Day,Sedan,3,0,0,0.6036145482237352
Hispanic_Low_Income,Hispanic,Low_Income,Day,Luxury,0,0,0,0.4035785375386756
White_Affluent,White,Affluent,Day,Sedan,3,0,0,0.02891387514202784
White_Mixed,White,Mixed,Night,SUV,1,0,0,0.48325843667360235
White_Mixed,White,Mixed,Day,Sedan,3,1,1,0.5772184567935845
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.5363043544915777
Black_Affluent,Black,Affluent,Night,SUV,4,0,0,0.44610539953239514
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,3,1,1,0.6305782863526761
White_Mixed,White,Mixed,Night,Sedan,2,1,1,0.5764961250356011
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,0,0,0.4030362685204481
Black_Mixed,Black,Mixed,Day,Sedan,1,0,0,0.36334214201224135
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.22542702971761594
White_Mixed,White,Mixed,Day,SUV,4,0,0,0.42157863729446954
White_Affluent,White,Affluent,Night,SUV,0,0,0,0.22929008852132174
Black_Affluent,Black,Affluent,Night,Luxury,2,0,0,0.3407042773190521
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.22411283486523773
Black_Mixed,Black,Mixed,Day,SUV,2,0,0,0.4831007836124813
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.3113829339877571
White_Low_Income,White,Low_Income,Day,SUV,0,1,1,0.5148055357933502
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,1,1,0.5136187192045338
Black_Mixed,Black,Mixed,Day,SUV,6,1,1,0.5388081885064336
White_Affluent,White,Affluent,Day,SUV,2,0,0,0.27034052927481467
Black_Low_Income,Black,Low_Income,Day,Sedan,1,0,0,0.4603528552944783
Black_Mixed,Black,Mixed,Day,SUV,1,1,1,0.5589250556468046
White_Affluent,White,Affluent,Night,SUV,1,0,0,0.2957786512984615
Black_Low_Income,Black,Low_Income,Day,Sedan,2,0,0,0.6305487358555143
Black_Mixed,Black,Mixed,Night,Sedan,0,0,0,0.370456114874112
White_Mixed,White,Mixed,Night,SUV,1,0,0,0.4727432278843279
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,2,0,0,0.4819865938904052
Black_Mixed,Black,Mixed,Day,Sedan,2,0,0,0.4070167877337976
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,6,1,1,0.5301452773217143
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.2822013171800859
Black_Mixed,Black,Mixed,Day,Sedan,3,0,0,0.4196413088655203
White_Affluent,White,Affluent,Night,SUV,2,0,0,0.35554517505370486
White_Affluent,White,Affluent,Night,Sedan,2,0,0,0.23639929075099578
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,6,0,0,0.34904463837488325
White_Low_Income,White,Low_Income,Night,Sedan,0,1,1,0.507225981009083
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,1,0,0,0.23967340271084236
White_Mixed,White,Mixed,Day,Sedan,7,1,1,0.526529452529554
Black_Affluent,Black,Affluent,Day,SUV,1,0,0,0.24284463931883643
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.27940860713813387
Black_Mixed,Black,Mixed,Night,Sedan,2,1,1,0.5743002270674212
Black_Mixed,Black,Mixed,Day,Sedan,1,0,0,0.44723799454698043
Black_Affluent,Black,Affluent,Day,Sedan,2,0,0,0.13168517164199434
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,3,0,0,0.47735029601634504
Black_Affluent,Black,Affluent,Night,SUV,3,0,0,0.40670125632688864
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.5798357370734705
White_Mixed,White,Mixed,Day,SUV,1,0,0,0.25190373473719646
Black_Affluent,Black,Affluent,Day,Sedan,1,0,0,0.26811207290095806
White_Low_Income,White,Low_Income,Night,Sedan,1,1,1,0.5908110880528044
Hispanic_Mixed,Hispanic,Mixed,Day,SUV,2,0,0,0.46342522153352456
White_Mixed,White,Mixed,Night,SUV,2,0,0,0.3669765363991443
White_Affluent,White,Affluent,Night,SUV,1,0,0,0.2604235508514994
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.18272881358331736
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.477332203640118
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.13537688396874673
Hispanic_Low_Income,Hispanic,Low_Income,Night,SUV,4,1,1,0.9046709967709959
Hispanic_Low_Income,Hispanic,Low_Income,Day,Luxury,2,1,1,0.6593393868535675
White_Low_Income,White,Low_Income,Night,Sedan,2,1,1,0.5065319119800185
White_Mixed,White,Mixed,Day,Sedan,4,0,0,0.2075406368643758
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,2,0,0,0.478242155144575
White_Affluent,White,Affluent,Night,Luxury,4,0,0,0.15556315656304995
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.25708580464344855
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.08315898975142158
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.184542574756185
White_Low_Income,White,Low_Income,Day,Luxury,3,0,0,0.293994456909514
Black_Affluent,Black,Affluent,Day,SUV,1,0,0,0.2974724431232564
White_Low_Income,White,Low_Income,Day,Luxury,1,0,0,0.4923591111822449
White_Low_Income,White,Low_Income,Day,Sedan,2,0,0,0.4232875669947803
White_Affluent,White,Affluent,Day,SUV,0,0,0,0.06228623859787699
White_Mixed,White,Mixed,Night,SUV,0,1,1,0.5712893461588376
White_Mixed,White,Mixed,Night,SUV,3,0,0,0.4668282368761246
White_Mixed,White,Mixed,Day,SUV,1,0,0,0.3132817527801834
White_Affluent,White,Affluent,Night,Sedan,1,0,0,0.2686360196354539
White_Low_Income,White,Low_Income,Day,SUV,3,1,1,0.589655687681497
White_Mixed,White,Mixed,Day,Sedan,3,0,0,0.4728782451780569
White_Mixed,White,Mixed,Day,Luxury,1,1,1,0.5432671659079419
White_Mixed,White,Mixed,Day,SUV,3,1,1,0.510547358404891
White_Mixed,White,Mixed,Day,Sedan,4,0,0,0.44318328808603524
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,0,0,0.32896145967479795
Black_Affluent,Black,Affluent,Night,SUV,3,0,0,0.43652309751326623
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,1,0,1,0.615394606189149
White_Low_Income,White,Low_Income,Day,Sedan,2,1,1,0.6076651333994137
Black_Low_Income,Black,Low_Income,Night,Sedan,0,1,1,0.8853899887604864
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.23690516945518972
White_Affluent,White,Affluent,Night,Luxury,2,0,0,0.19022119943324597
White_Affluent,White,Affluent,Day,Sedan,6,0,0,0.3159075018708336
Hispanic_Low_Income,Hispanic,Low_Income,Day,SUV,2,1,1,0.6567868967322582
White_Affluent,White,Affluent,Night,SUV,3,0,0,0.27894755777584146
Black_Affluent,Black,Affluent,Day,SUV,0,0,0,0.30743851532389976
White_Mixed,White,Mixed,Day,Sedan,5,0,0,0.428602209478992
White_Affluent,White,Affluent,Day,Sedan,0,0,0,0.21173577206039093
White_Affluent,White,Affluent,Day,Sedan,5,0,0,0.10671383883357966
White_Mixed,White,Mixed,Day,SUV,2,1,1,0.5082795888446945
White_Low_Income,White,Low_Income,Day,SUV,3,1,1,0.6693049760177907
Black_Affluent,Black,Affluent,Day,SUV,3,0,0,0.35095338844335083
Black_Low_Income,Black,Low_Income,Night,SUV,4,1,1,0.9406467819825639
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,3,1,1,0.755340689981845
Black_Affluent,Black,Affluent,Night,SUV,1,0,0,0.45194389904816734
Hispanic_Affluent,Hispanic,Affluent,Night,SUV,4,0,1,0.5894239676995726
Hispanic_Low_Income,Hispanic,Low_Income,Day,Sedan,1,1,1,0.6274836162541882
Black_Mixed,Black,Mixed,Day,SUV,1,1,1,0.6255445805689581
Hispanic_Affluent,Hispanic,Affluent,Night,Sedan,2,0,1,0.44238218271674645
Black_Low_Income,Black,Low_Income,Day,Sedan,4,1,1,0.7382601383442504
White_Low_Income,White,Low_Income,Day,SUV,1,1,1,0.6225729129535033
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.06081077224976955
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,1,0,0,0.35899808691310586
White_Mixed,White,Mixed,Day,SUV,0,0,0,0.126018067224487
Black_Low_Income,Black,Low_Income,Day,Sedan,2,0,0,0.5677549206024082
White_Mixed,White,Mixed,Night,SUV,2,1,1,0.5758251414448015
White_Affluent,White,Affluent,Day,Luxury,2,0,0,0.12426818079233681
Black_Low_Income,Black,Low_Income,Day,Luxury,0,1,1,0.934467777076992
Black_Low_Income,Black,Low_Income,Day,SUV,4,0,1,0.605978329502985
White_Affluent,White,Affluent,Night,Sedan,2,0,0,0.1591622426392407
White_Affluent,White,Affluent,Night,SUV,1,0,0,0.17354959284196766
White_Mixed,White,Mixed,Day,SUV,1,0,0,0.2873148569142042
White_Mixed,White,Mixed,Day,Sedan,2,0,0,0.4981325241222451
White_Mixed,White,Mixed,Day,Sedan,1,0,0,0.2963920980411415
Black_Low_Income,Black,Low_Income,Day,Sedan,2,0,0,0.606334362338559
Hispanic_Affluent,Hispanic,Affluent,Day,Sedan,1,0,0,0.3098494858654862
White_Low_Income,White,Low_Income,Day,Sedan,0,0,0,0.2246856079921653
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,1,0,1,0.6065895319299701
Black_Low_Income,Black,Low_Income,Day,Sedan,2,1,1,0.7547044278645343
Black_Affluent,Black,Affluent,Night,SUV,1,0,0,0.4380816872231558
Hispanic_Mixed,Hispanic,Mixed,Day,Sedan,1,0,0,0.3791280652715411
Black_Affluent,Black,Affluent,Night,SUV,4,0,0,0.32519058495834424
Hispanic_Mixed,Hispanic,Mixed,Night,Sedan,2,1,1,0.7710962758437654
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.24170498477865263
Hispanic_Affluent,Hispanic,Affluent,Day,SUV,3,0,0,0.2646613511803642
Black_Mixed,Black,Mixed,Day,SUV,1,0,0,0.27274121202535695
White_Affluent,White,Affluent,Day,Sedan,2,0,0,0.054540022163369006
White_Low_Income,White,Low_Income,Day,Luxury,1,0,0,0.4467346526791943
Black_Low_Income,Black,Low_Income,Night,Sedan,4,1,1,0.9673222463929243
White_Mixed,White,Mixed,Night,Sedan,2,0,0,0.3862818210190729
Black_Mixed,Black,Mixed,Day,Sedan,0,0,0,0.1578540637775433
White_Affluent,White,Affluent,Day,SUV,1,0,0,0.13009043585568894
White_Mixed,White,Mixed,Day,SUV,3,0,0,0.4308975063139359
